Act_Name, Year, File_Name,
Madhya Pradesh Vidhan Sabha Adhyaksha Tatha Upadhyaksha Evam Neta Pratipaksha Vetan Tatha Bhatta Vidhi (Sanshodhan) Adhiniyam, 2016,	
Madhya Pradesh Municipal Corporation Act, 1956,	 1972_S_91.txt	 1994_L_28.txt	 1995_C_170.txt	 1979_N_19.txt	 1998_A_32.txt	 2011_A_27.txt	 2016_R_105.txt	 2014_S_348.txt	 1991_S_2.txt	 2002_C_7.txt	 2010_D_81.txt	 1987_S_302.txt	 1976_S_62.txt	 1996_M_37.txt	 1999_S_640.txt	 2016_S_483.txt	 2006_M_270.txt	 1996_S_520.txt	 1987_U_5.txt	 1981_S_79.txt	 1991_G_41.txt	 1977_M_60.txt	 1995_M_201.txt	 1972_M_91.txt	 1979_C_23.txt	 2005_S_524.txt	 2005_S_283.txt	
Madhya Pradesh Shri Mahakaleshwar Mandir Adhiniyam, 1982,	
Pandit S. N. Shukla University Act, 2016,	
Madhya Pradesh Anusuchit Jati Tatha Anusuchit Jan Jati Rini Sahayata (Sanshodhan Tatha Vidhimanya Karan) Adhiniyam, 1984,	
Code of Criminal Procedure (Madhya Pradesh Amendment) Act, 1999,	
Madhya Pradesh Rajya Alpsankhyak Ayog Adhiniyam, 1996,	
Madhya Bharat Agricultural Debtor's Relief Act, 1956,	
Madhya Pradesh Vat (Second Amendment) Act, 2011,	
Criminal Law Amendment (Madhya Pradesh Amendment) Act, 1967,	
Madhya Pradesh Nagarpalik Vidhi (Sanshodhan) Adhiniyam, 2017,	
Madhya Pradesh Niji Vishwavidyalaya (Sthapana Avam Sanchalan) Sanshodhan Adhiniyam, 2016,	
Madhya Pradesh Arthik Roop Se Kamzor Varg Tatha Nimna Aay Varg Ko Awas Guarantee Adhiniyam, 2017,	
Madhya Pradesh Agriculturists Loans Act, 1884,	
Madhya Pradesh Bhiksha Vritti Nivaran Act, 1973,	
Madhya Pradesh Vidhan Mandal Sadasya Nirhata Nivaran (Sanshodhan) Ahiniyam, 2017,	
Madhya Pradesh Vishesh Kshetra Suraksha Adhiniyam, 2000,	
Madhya Pradesh Adhivakta Kalyan Nidhi Act, 1982,	
Madhya Pradesh Bhudan Yagna Act, 1953,	
Madhya Pradesh Vidhan Sabha Neta Pratipaksh (Vetan Tatha Bhatta) Adhiniyam, 1980,	
Madhya Pradesh Excise Act, 1915,	 2004_S_881.txt	 1986_N_11.txt	 1992_S_164.txt	 1976_M_64.txt	 1995_T_10.txt	 1970_B_46.txt	 2017_K_71.txt	
Madhya Pradesh Panchayat Raj Avam Gram Swaraj (Sanshodhan) Adhiniyam, 2016,	
Rashtriya Vidhi Sansthan Vishwavidyalaya (Sanshodhan) Adhiniyam, 2011,	
Madhya Pradesh Swayatta Sahakarita (Nirsan) Adhiniyam, 2012,	
Madhya Pradesh Live-stock Improvement Act, 1950,	
Madhya Pradesh Motoryan Karadhan (Sanshodhan) Adhiniyam, 2016,	
Madhya Pradesh Vritti Kar (Sanshodhan) Adhiniyam, 2017,	
Madhya Pradesh Griha Nirman Mandal Adhiniyam, 1972,	 2015_B_4.txt	
Madhya Pradesh Swatwadharik Adhikar Sampati (Vindhya Pradesh Kshetra) Adhiniyam, 1965,	
Madhya Pradesh Sarvajanik Sthan (Dharmik Bhawan Evam Gatividhiyon Ka Viniyaman) Sanshodhan Adhiniyam, 2013,	
Madhya Pradesh Lok Vaniki Act, 2001,	
Central Provinces and Berar Debt Conciliation Act, 1933,	 2001_B_121.txt	
Madhya Pradesh Niji Vishwavidyalaya (Sthapana Avam Sanchalan) Sanshodhan Adhiniyam, 2011,	 2012_S_182.txt	
Madhya Pradesh Vishesh Sashastra Bal Adhiniyam, 1968,	
Madhya Pradesh Anusuchit Jati Tatha Anusuchit Jan Jati (Rini Sahayata) Adhiniyam, 1967,	
Madhya Pradesh Minimum Wages Fixation Act, 1962,	 1964_N_12.txt	
Madhya Pradesh Lok Sewaon Ke Pradan Ki Guarnatee (Dwitiya Sanshodhan) Adhiniyam, 2011,	
Madhya Pradesh Rajya Beej Evam Farm Vikas Nigam Act, 1980,	
Madhya Pradesh Rajya Vitta Ayog Act, 1994,	
Madhya Pradesh Prisoners Release on Probation Act, 1954,	
Madhya Pradesh Lok Seva (Anusuchit Jatiyon, Anusuchit Jan Jatiyon Aur Anya Pichhade Vargon ke Liye Arakshan) Act,	 1994	
Madhya Bharat Public Debt Act, 1953,	
Madhya Pradesh Uphar Vastu (Vidhi Viruddha Kabza) Adhiniyam, 1965,	
Madhya Pradesh Sugarcane (Regulation of Supply or Purchase) Act, 1958,	
Madhya Pradesh Land Utilisation Laws Repealing Act, 1961,	
Madhya Pradesh Value Added Tax (Amendment) Act, 2007,	
Madhya Pradesh Kaneenika Upropan (Corneal Grafting) Adhiniyam, 1982,	
Madhya Pradesh Vidhan Sabha Sadasya Vetan Bhatta Tatha Pension Adhiniyam, 1972,	
Code of Civil Procedure (Madhya Pradesh Amendment) Act, 1984,	
Madhya Pradesh Niji Vishwavidyalaya (Sthapana Avam Sanchalan) Dwitiya Sanshodhan Adhiniyam, 2016,	
Madhya Pradesh Nagar Tatha Gram Nivesh (Sanshodhan Tatha Vidhimanyakaran) Adhiniyam, 2016,	
Madhya Pradesh Nirsan Adhiniyam Act, 2016,	
Madhya Pradesh Vidhan Sabha Sadasya Vetan, Bhatta Tatha Pension (Dwitiya Sanshodhan) Adhiniyam,	 2012	
Madhya Pradesh Audyogik Suraksha Bal Adhiniyam, 2015,	
Madhya Pradesh Vritti Kar Adhiniyam, 1995,	
